"SYMBOL","ENSEMBL","ENTREZID","lengths","logFC","logCPM","F","PValue","FDR"
"TSPAN7","ENSG00000156298",7102,3105,-5.57519064065983,3.94415335628712,106.889310966231,6.75073666641078e-06,0.0018626615242977
"KDR","ENSG00000128052",3791,6259,-5.69939895823459,5.36468961079127,106.723426297669,6.79005615695926e-06,0.0018626615242977
"PKP3","ENSG00000184363",11187,3787,4.00265604427133,4.71470836223965,105.917050773123,6.98532366757414e-06,0.0018626615242977
"GALNT3","ENSG00000115339",2591,4686,4.35739552931441,4.912082226039,105.635908733241,7.05505128266405e-06,0.0018626615242977
"HOXC9","ENSG00000180806",3225,1679,5.33499286817435,4.04416169492818,105.161103920894,7.17479875492298e-06,0.0018626615242977
"TMEM37","ENSG00000171227",140738,2292,-4.92008109172472,4.22666543460274,104.934829261018,7.23276032916733e-06,0.0018626615242977
"LRRN4","ENSG00000125872",164312,2692,-6.58061309508502,3.46799894098483,104.7661318993,7.27635461408252e-06,0.0018626615242977
"SPDEF","ENSG00000124664",25803,1914,5.13469017875355,6.05985635189982,104.233658505476,7.41612808036456e-06,0.0018626615242977
"HOXC10","ENSG00000180818",3226,2331,5.90513847970978,4.39630585976445,103.951940945625,7.49143734621882e-06,0.0018626615242977
"MAF","ENSG00000178573",4094,6976,-5.3648973449839,7.90815720013235,103.926638950035,7.49824783936003e-06,0.0018626615242977
"PROCR","ENSG00000101000",10544,1348,-6.1434386954726,7.22494337792805,103.419722902519,7.6363399372715e-06,0.0018626615242977
"VEGFC","ENSG00000150630",7424,2423,-5.05782082416667,4.53088078443897,103.221837275577,7.69110957883144e-06,0.0018626615242977
"SLC2A3","ENSG00000059804",6515,6159,-4.53330181130376,5.48505055067986,103.152977796764,7.71028328021315e-06,0.0018626615242977
"GYPC","ENSG00000136732",2995,3237,-6.37492512775687,6.90978116108587,103.010445481627,7.75016127607863e-06,0.0018626615242977
"HRASLS5",NA,NA,3268,-6.80221079174531,2.58021162492072,102.893306379625,7.78312799720156e-06,0.0018626615242977
"TMEM176A","ENSG00000002933",55365,3479,-6.79405762219224,6.52943631224252,102.852597844809,7.79462574786166e-06,0.0018626615242977
"TFAP2A","ENSG00000137203",7020,8245,4.82018703706543,6.21768814402998,102.785260512677,7.81369123290474e-06,0.0018626615242977
"IFIT1","ENSG00000185745",3434,3079,-4.68600634200257,5.31146574531736,102.619200926089,7.86095823143164e-06,0.0018626615242977
"MLPH","ENSG00000115648",79083,7514,4.45338718538719,6.43690099920418,101.771280466518,8.10796332669902e-06,0.0018626615242977
"ARHGAP23","ENSG00000273780",57636,8014,-5.41865237938531,4.57297014120761,101.63499952076,8.14856368291902e-06,0.0018626615242977
"ADAMTS2","ENSG00000087116",9509,7687,-5.75625408446247,3.94577456146651,101.484582396621,8.19367111723758e-06,0.0018626615242977
"ITLN1","ENSG00000179914",55600,1483,-6.47945062117639,9.17593660814667,100.865716158241,8.38257729528373e-06,0.0018626615242977
"MACC1","ENSG00000183742",346389,9898,4.41437312132294,4.54309736320052,100.69054628646,8.43703386902739e-06,0.0018626615242977
"FHL1","ENSG00000022267",2273,4945,-5.85626434818015,5.44506348945545,100.132267961387,8.61356912289179e-06,0.0018626615242977
"SLIT3","ENSG00000184347",6586,14334,-6.53831502182939,5.23661866727609,100.111031661257,8.62037511201617e-06,0.0018626615242977
"TNFRSF8","ENSG00000120949",943,3738,-6.47197540108272,3.07274885516223,99.9245736715405,8.68042250043067e-06,0.0018626615242977
"CDON","ENSG00000064309",50937,10600,-4.23810675010542,5.49695541786365,99.27746558443,8.89291977667445e-06,0.0018626615242977
"ANXA8L1","ENSG00000264230",728113,2127,-7.10886155181936,4.60233271412931,99.1255416142863,8.94374863949468e-06,0.0018626615242977
"RP11-532F12.5",NA,NA,1239,4.67786974328215,5.43929484765915,98.7443819960627,9.07288110430984e-06,0.0018626615242977
"TM4SF18","ENSG00000163762",116441,4482,8.05646197557102,3.26624129104323,97.8198839346393,9.39591466353048e-06,0.0018626615242977
"THY1","ENSG00000154096",7070,5923,-8.28867343117997,6.13537661678992,97.6909545819455,9.44210032911554e-06,0.0018626615242977
"RP11-123O22.1",NA,NA,712,-8.50884740172412,2.08302442256037,97.4632724994153,9.52435733496901e-06,0.0018626615242977
"TMEM176B","ENSG00000106565",28959,1979,-6.39775369210483,6.50874836435534,96.8711317701569,9.74252160827355e-06,0.0018626615242977
"GALNT6","ENSG00000139629",11226,7347,3.96469339765118,5.73923384147603,96.8329597759232,9.75679883712283e-06,0.0018626615242977
"AQP9","ENSG00000103569",366,3235,-5.85069380102202,3.07846428875137,96.5554101649387,9.86139980776439e-06,0.0018626615242977
"IGFBP1","ENSG00000146678",3484,1653,-6.70399828955538,4.62655020345893,96.2537978516582,9.9766647438726e-06,0.0018626615242977
"MEG3","ENSG00000214548",55384,15769,-6.74580409703052,4.88179187825944,96.0791658332049,1.00441732514514e-05,0.0018626615242977
"ABI3BP","ENSG00000154175",25890,10978,-6.67455307964065,5.36033472736995,96.0729650338436,1.00465808182135e-05,0.0018626615242977
"NETO2","ENSG00000171208",81831,7481,4.59557459367238,3.59474367439592,95.9544629069952,1.00927303242901e-05,0.0018626615242977
"CCDC80","ENSG00000091986",151887,5305,-6.51852484469612,11.1027255859079,95.9544618651376,1.00927307311958e-05,0.0018626615242977
"SERPINB2","ENSG00000197632",5055,2748,-6.64947857404889,7.42580032277184,95.7851749180513,1.01591188456919e-05,0.0018626615242977
"SERPINF1","ENSG00000132386",5176,3069,-6.05967274031081,5.05447318720209,95.6796700915158,1.02007703606146e-05,0.0018626615242977
